MONTH ,DAY,YEAR,HOUR,TEMPERATURE,PRECIPITATION,STATUS
1,13,2009,900,24°C,0.0 mm,Overcast
1,13,2009,1200,23°C,0.0 mm,Overcast
1,13,2009,1500,23°C,0.0 mm,Overcast
1,13,2009,1800,22°C,0.0 mm,Overcast
1,14,2009,600,21°C,0.0 mm,Overcast
1,14,2009,900,23°C,0.0 mm,Overcast
1,14,2009,1200,22°C,0.0 mm,Overcast
1,14,2009,1500,22°C,0.0 mm,Overcast
1,14,2009,1800,21°C,0.0 mm,Overcast
1,15,2009,600,21°C,0.0 mm,Overcast
1,15,2009,900,21°C,0.0 mm,Overcast
1,15,2009,1200,22°C,0.0 mm,Overcast
1,15,2009,1500,23°C,0.0 mm,Overcast
1,15,2009,1800,21°C,0.0 mm,Cloudy
1,16,2009,600,21°C,0.0 mm,Overcast
1,16,2009,900,23°C,0.0 mm,Overcast
1,16,2009,1200,24°C,0.0 mm,Overcast
1,16,2009,1500,23°C,0.0 mm,Overcast
1,16,2009,1800,22°C,0.0 mm,Overcast
1,17,2009,600,23°C,0.0 mm,Overcast
1,17,2009,900,24°C,0.0 mm,Cloudy
1,17,2009,1200,24°C,0.0 mm,Overcast
1,17,2009,1500,24°C,0.0 mm,Overcast
1,17,2009,1800,23°C,0.0 mm,Overcast
1,18,2009,600,24°C,0.0 mm,Overcast
1,18,2009,900,26°C,0.0 mm,Cloudy
1,18,2009,1200,26°C,0.0 mm,Cloudy
1,18,2009,1500,25°C,0.0 mm,Overcast
1,18,2009,1800,24°C,0.0 mm,Overcast
1,19,2009,600,24°C,0.0 mm,Overcast
1,19,2009,900,25°C,0.0 mm,Overcast
1,19,2009,1200,26°C,0.0 mm,Cloudy
1,19,2009,1500,26°C,0.0 mm,Partly cloudy
1,19,2009,1800,24°C,0.0 mm,Partly cloudy
1,20,2009,600,25°C,0.0 mm,Partly cloudy
1,20,2009,900,27°C,0.0 mm,Cloudy
1,20,2009,1200,27°C,0.0 mm,Cloudy
1,20,2009,1500,26°C,0.0 mm,Cloudy
1,20,2009,1800,24°C,0.0 mm,Cloudy
1,21,2009,600,25°C,0.0 mm,Partly cloudy
1,21,2009,900,27°C,0.0 mm,Partly cloudy
1,21,2009,1200,28°C,0.1 mm,Patchy rain possible
1,21,2009,1500,26°C,0.2 mm,Patchy rain possible
1,21,2009,1800,24°C,0.0 mm,Partly cloudy
1,22,2009,600,25°C,0.0 mm,Cloudy
1,22,2009,900,28°C,0.0 mm,Partly cloudy
1,22,2009,1200,28°C,0.0 mm,Partly cloudy
1,22,2009,1500,27°C,0.2 mm,Patchy rain possible
1,22,2009,1800,25°C,0.0 mm,Partly cloudy
1,23,2009,600,25°C,0.0 mm,Partly cloudy
1,23,2009,900,27°C,0.0 mm,Partly cloudy
1,23,2009,1200,29°C,0.0 mm,Partly cloudy
1,23,2009,1500,27°C,1.5 mm,Moderate or heavy rain shower
1,23,2009,1800,25°C,1.1 mm,Heavy rain at times
1,24,2009,600,24°C,0.0 mm,Cloudy
1,24,2009,900,25°C,0.0 mm,Cloudy
1,24,2009,1200,26°C,0.0 mm,Overcast
1,24,2009,1500,25°C,0.0 mm,Overcast
1,24,2009,1800,24°C,0.0 mm,Overcast
1,25,2009,600,23°C,0.0 mm,Overcast
1,25,2009,900,24°C,0.0 mm,Overcast
1,25,2009,1200,25°C,0.0 mm,Overcast
1,25,2009,1500,24°C,0.0 mm,Overcast
1,25,2009,1800,22°C,0.0 mm,Overcast
1,26,2009,600,23°C,0.0 mm,Overcast
1,26,2009,900,24°C,0.0 mm,Overcast
1,26,2009,1200,25°C,0.0 mm,Overcast
1,26,2009,1500,25°C,0.0 mm,Cloudy
1,26,2009,1800,24°C,0.0 mm,Overcast
1,27,2009,600,24°C,0.2 mm,Patchy rain possible
1,27,2009,900,24°C,0.4 mm,Patchy rain possible
1,27,2009,1200,25°C,0.2 mm,Patchy rain possible
1,27,2009,1500,25°C,0.0 mm,Clear
1,27,2009,1800,24°C,0.1 mm,Patchy rain possible
1,28,2009,600,25°C,0.0 mm,Partly cloudy
1,28,2009,900,28°C,0.0 mm,Partly cloudy
1,28,2009,1200,28°C,0.1 mm,Patchy rain possible
1,28,2009,1500,27°C,0.0 mm,Partly cloudy
1,28,2009,1800,24°C,0.0 mm,Partly cloudy
1,29,2009,600,25°C,0.0 mm,Partly cloudy
1,29,2009,900,26°C,0.0 mm,Partly cloudy
1,29,2009,1200,26°C,0.0 mm,Partly cloudy
1,29,2009,1500,26°C,0.0 mm,Partly cloudy
1,29,2009,1800,25°C,0.0 mm,Cloudy
1,30,2009,600,24°C,0.0 mm,Clear
1,30,2009,900,28°C,0.0 mm,Clear
1,30,2009,1200,27°C,0.0 mm,Clear
1,30,2009,1500,27°C,0.0 mm,Partly cloudy
1,30,2009,1800,25°C,0.0 mm,Cloudy
1,31,2009,600,25°C,0.0 mm,Partly cloudy
1,31,2009,900,26°C,0.0 mm,Cloudy
1,31,2009,1200,26°C,0.0 mm,Cloudy
1,31,2009,1500,26°C,0.0 mm,Cloudy
1,31,2009,1800,25°C,0.0 mm,Cloudy
2,1,2009,600,24°C,0.0 mm,Cloudy
2,1,2009,900,24°C,0.0 mm,Cloudy
2,1,2009,1200,26°C,0.0 mm,Overcast
2,1,2009,1500,25°C,0.0 mm,Overcast
2,1,2009,1800,23°C,0.0 mm,Cloudy
2,2,2009,600,24°C,0.0 mm,Partly cloudy
2,2,2009,900,26°C,0.0 mm,Partly cloudy
2,2,2009,1200,27°C,0.0 mm,Partly cloudy
2,2,2009,1500,25°C,0.0 mm,Clear
2,2,2009,1800,23°C,0.0 mm,Clear
2,3,2009,600,24°C,0.0 mm,Partly cloudy
2,3,2009,900,26°C,0.0 mm,Clear
2,3,2009,1200,28°C,0.0 mm,Clear
2,3,2009,1500,26°C,0.0 mm,Clear
2,3,2009,1800,23°C,0.0 mm,Clear
2,4,2009,600,24°C,0.0 mm,Partly cloudy
2,4,2009,900,26°C,0.0 mm,Cloudy
2,4,2009,1200,27°C,0.0 mm,Partly cloudy
2,4,2009,1500,26°C,0.0 mm,Partly cloudy
2,4,2009,1800,23°C,0.0 mm,Partly cloudy
2,5,2009,600,23°C,1.3 mm,Heavy rain at times
2,5,2009,900,23°C,1.3 mm,Heavy rain at times
2,5,2009,1200,27°C,0.0 mm,Partly cloudy
2,5,2009,1500,26°C,0.0 mm,Partly cloudy
2,5,2009,1800,23°C,0.0 mm,Partly cloudy
2,6,2009,600,23°C,0.0 mm,Cloudy
2,6,2009,900,27°C,0.1 mm,Patchy rain possible
2,6,2009,1200,27°C,0.0 mm,Partly cloudy
2,6,2009,1500,26°C,0.2 mm,Patchy rain possible
2,6,2009,1800,24°C,0.0 mm,Cloudy
2,7,2009,600,24°C,0.0 mm,Cloudy
2,7,2009,900,27°C,0.0 mm,Cloudy
2,7,2009,1200,26°C,0.0 mm,Partly cloudy
2,7,2009,1500,24°C,0.2 mm,Patchy rain possible
2,7,2009,1800,24°C,0.0 mm,Partly cloudy
2,8,2009,600,24°C,0.0 mm,Overcast
2,8,2009,900,27°C,0.0 mm,Cloudy
2,8,2009,1200,27°C,0.0 mm,Cloudy
2,8,2009,1500,27°C,0.0 mm,Partly cloudy
2,8,2009,1800,24°C,0.0 mm,Partly cloudy
2,9,2009,600,25°C,0.0 mm,Clear
2,9,2009,900,27°C,0.0 mm,Partly cloudy
2,9,2009,1200,27°C,0.0 mm,Partly cloudy
2,9,2009,1500,26°C,0.0 mm,Partly cloudy
2,9,2009,1800,24°C,0.0 mm,Partly cloudy
2,10,2009,600,25°C,0.0 mm,Partly cloudy
2,10,2009,900,28°C,0.0 mm,Clear
2,10,2009,1200,29°C,0.0 mm,Clear
2,10,2009,1500,28°C,0.0 mm,Clear
2,10,2009,1800,25°C,0.0 mm,Clear
2,11,2009,600,24°C,0.0 mm,Clear
2,11,2009,900,27°C,0.0 mm,Clear
2,11,2009,1200,29°C,0.0 mm,Clear
2,11,2009,1500,28°C,0.0 mm,Clear
2,11,2009,1800,25°C,0.0 mm,Clear
2,12,2009,600,24°C,0.0 mm,Clear
2,12,2009,900,27°C,0.0 mm,Clear
2,12,2009,1200,30°C,0.0 mm,Clear
2,12,2009,1500,29°C,0.2 mm,Patchy rain possible
2,12,2009,1800,25°C,0.0 mm,Clear
2,13,2009,600,24°C,0.0 mm,Clear
2,13,2009,900,27°C,0.0 mm,Clear
2,13,2009,1200,30°C,0.0 mm,Clear
2,13,2009,1500,29°C,0.0 mm,Clear
2,13,2009,1800,26°C,0.0 mm,Clear
2,14,2009,600,25°C,0.0 mm,Partly cloudy
2,14,2009,900,26°C,0.0 mm,Cloudy
2,14,2009,1200,26°C,0.3 mm,Patchy rain possible
2,14,2009,1500,25°C,0.7 mm,Patchy rain possible
2,14,2009,1800,24°C,0.1 mm,Patchy rain possible
2,15,2009,600,24°C,0.4 mm,Patchy rain possible
2,15,2009,900,25°C,0.0 mm,Overcast
2,15,2009,1200,28°C,1.3 mm,Heavy rain at times
2,15,2009,1500,26°C,1.1 mm,Heavy rain at times
2,15,2009,1800,25°C,1.3 mm,Heavy rain at times
2,16,2009,600,26°C,0.0 mm,Partly cloudy
2,16,2009,900,27°C,0.0 mm,Partly cloudy
2,16,2009,1200,29°C,0.1 mm,Patchy rain possible
2,16,2009,1500,28°C,1.3 mm,Heavy rain at times
2,16,2009,1800,25°C,0.0 mm,Partly cloudy
2,17,2009,600,25°C,0.0 mm,Clear
2,17,2009,900,28°C,0.0 mm,Clear
2,17,2009,1200,30°C,0.0 mm,Partly cloudy
2,17,2009,1500,29°C,0.2 mm,Patchy rain possible
2,17,2009,1800,25°C,0.0 mm,Clear
2,18,2009,600,26°C,0.0 mm,Partly cloudy
2,18,2009,900,28°C,0.0 mm,Partly cloudy
2,18,2009,1200,29°C,0.0 mm,Partly cloudy
2,18,2009,1500,29°C,0.9 mm,Moderate rain at times
2,18,2009,1800,26°C,0.0 mm,Partly cloudy
2,19,2009,600,26°C,0.0 mm,Clear
2,19,2009,900,28°C,0.0 mm,Partly cloudy
2,19,2009,1200,29°C,0.2 mm,Patchy rain possible
2,19,2009,1500,28°C,0.1 mm,Patchy rain possible
2,19,2009,1800,25°C,0.0 mm,Partly cloudy
2,20,2009,600,27°C,0.0 mm,Clear
2,20,2009,900,29°C,0.0 mm,Clear
2,20,2009,1200,31°C,0.0 mm,Clear
2,20,2009,1500,30°C,0.0 mm,Clear
2,20,2009,1800,27°C,0.0 mm,Clear
2,21,2009,600,25°C,0.0 mm,Clear
2,21,2009,900,28°C,0.0 mm,Clear
2,21,2009,1200,31°C,0.0 mm,Clear
2,21,2009,1500,28°C,0.0 mm,Partly cloudy
2,21,2009,1800,25°C,0.0 mm,Clear
2,22,2009,600,26°C,0.0 mm,Clear
2,22,2009,900,28°C,0.0 mm,Clear
2,22,2009,1200,31°C,0.0 mm,Clear
2,22,2009,1500,29°C,0.0 mm,Clear
2,22,2009,1800,25°C,0.0 mm,Clear
2,23,2009,600,26°C,0.0 mm,Partly cloudy
2,23,2009,900,28°C,0.0 mm,Partly cloudy
2,23,2009,1200,29°C,0.0 mm,Clear
2,23,2009,1500,29°C,0.0 mm,Clear
2,23,2009,1800,26°C,0.0 mm,Clear
2,24,2009,600,26°C,0.0 mm,Clear
2,24,2009,900,28°C,0.0 mm,Clear
2,24,2009,1200,31°C,0.0 mm,Clear
2,24,2009,1500,28°C,0.0 mm,Clear
2,24,2009,1800,26°C,0.0 mm,Clear
2,25,2009,600,26°C,0.0 mm,Partly cloudy
2,25,2009,900,29°C,0.0 mm,Partly cloudy
2,25,2009,1200,30°C,0.0 mm,Clear
2,25,2009,1500,28°C,0.0 mm,Partly cloudy
2,25,2009,1800,25°C,0.0 mm,Partly cloudy
2,26,2009,600,27°C,0.0 mm,Partly cloudy
2,26,2009,900,28°C,0.0 mm,Partly cloudy
2,26,2009,1200,30°C,0.0 mm,Clear
2,26,2009,1500,28°C,0.0 mm,Clear
2,26,2009,1800,25°C,0.0 mm,Clear
2,27,2009,600,25°C,0.0 mm,Clear
2,27,2009,900,29°C,0.0 mm,Clear
2,27,2009,1200,32°C,0.0 mm,Clear
2,27,2009,1500,30°C,0.0 mm,Clear
2,27,2009,1800,27°C,0.0 mm,Clear
2,28,2009,600,25°C,0.0 mm,Partly cloudy
2,28,2009,900,28°C,0.0 mm,Clear
2,28,2009,1200,30°C,0.0 mm,Clear
2,28,2009,1500,29°C,0.0 mm,Clear
2,28,2009,1800,26°C,0.0 mm,Clear
3,1,2009,600,26°C,0.0 mm,Partly cloudy
3,1,2009,900,28°C,0.0 mm,Partly cloudy
3,1,2009,1200,30°C,0.0 mm,Partly cloudy
3,1,2009,1500,28°C,0.0 mm,Clear
3,1,2009,1800,25°C,0.0 mm,Cloudy
3,2,2009,600,25°C,0.0 mm,Cloudy
3,2,2009,900,25°C,0.0 mm,Cloudy
3,2,2009,1200,27°C,0.2 mm,Patchy rain possible
3,2,2009,1500,27°C,0.2 mm,Patchy rain possible
3,2,2009,1800,25°C,0.0 mm,Partly cloudy
3,3,2009,600,25°C,0.0 mm,Partly cloudy
3,3,2009,900,28°C,0.1 mm,Patchy rain possible
3,3,2009,1200,30°C,0.0 mm,Partly cloudy
3,3,2009,1500,29°C,0.0 mm,Partly cloudy
3,3,2009,1800,26°C,0.0 mm,Partly cloudy
3,4,2009,600,26°C,0.0 mm,Clear
3,4,2009,900,29°C,0.0 mm,Clear
3,4,2009,1200,31°C,0.0 mm,Clear
3,4,2009,1500,30°C,0.0 mm,Clear
3,4,2009,1800,26°C,0.0 mm,Clear
3,5,2009,600,26°C,0.0 mm,Clear
3,5,2009,900,29°C,0.0 mm,Clear
3,5,2009,1200,31°C,0.0 mm,Clear
3,5,2009,1500,30°C,0.0 mm,Clear
3,5,2009,1800,26°C,0.0 mm,Clear
3,6,2009,600,26°C,0.0 mm,Clear
3,6,2009,900,30°C,0.0 mm,Clear
3,6,2009,1200,32°C,0.0 mm,Clear
3,6,2009,1500,31°C,0.0 mm,Clear
3,6,2009,1800,27°C,0.0 mm,Clear
3,7,2009,600,26°C,0.0 mm,Clear
3,7,2009,900,30°C,0.0 mm,Clear
3,7,2009,1200,32°C,0.0 mm,Clear
3,7,2009,1500,31°C,0.0 mm,Clear
3,7,2009,1800,27°C,0.0 mm,Clear
3,8,2009,600,25°C,0.0 mm,Clear
3,8,2009,900,29°C,0.0 mm,Clear
3,8,2009,1200,31°C,0.0 mm,Clear
3,8,2009,1500,30°C,0.4 mm,Patchy rain possible
3,8,2009,1800,27°C,0.0 mm,Clear
3,9,2009,600,26°C,0.0 mm,Clear
3,9,2009,900,29°C,0.0 mm,Clear
3,9,2009,1200,33°C,0.0 mm,Partly cloudy
3,9,2009,1500,31°C,0.0 mm,Clear
3,9,2009,1800,28°C,0.0 mm,Clear
3,10,2009,600,26°C,0.0 mm,Clear
3,10,2009,900,30°C,0.0 mm,Clear
3,10,2009,1200,32°C,0.0 mm,Clear
3,10,2009,1500,31°C,0.0 mm,Clear
3,10,2009,1800,27°C,0.0 mm,Clear
3,11,2009,600,26°C,0.0 mm,Clear
3,11,2009,900,30°C,0.0 mm,Clear
3,11,2009,1200,32°C,0.0 mm,Clear
3,11,2009,1500,31°C,0.0 mm,Clear
3,11,2009,1800,28°C,0.0 mm,Clear
3,12,2009,600,26°C,0.0 mm,Clear
3,12,2009,900,30°C,0.0 mm,Clear
3,12,2009,1200,32°C,0.0 mm,Clear
3,12,2009,1500,31°C,0.0 mm,Clear
3,12,2009,1800,28°C,0.0 mm,Clear
3,13,2009,600,26°C,0.0 mm,Clear
3,13,2009,900,29°C,0.0 mm,Clear
3,13,2009,1200,32°C,0.0 mm,Clear
3,13,2009,1500,31°C,0.0 mm,Clear
3,13,2009,1800,28°C,0.0 mm,Clear
3,14,2009,600,26°C,0.0 mm,Clear
3,14,2009,900,29°C,0.0 mm,Partly cloudy
3,14,2009,1200,32°C,0.0 mm,Clear
3,14,2009,1500,31°C,0.2 mm,Patchy rain possible
3,14,2009,1800,27°C,0.0 mm,Clear
3,15,2009,600,26°C,0.0 mm,Partly cloudy
3,15,2009,900,28°C,0.0 mm,Partly cloudy
3,15,2009,1200,29°C,0.0 mm,Clear
3,15,2009,1500,29°C,0.0 mm,Partly cloudy
3,15,2009,1800,26°C,0.0 mm,Partly cloudy
3,16,2009,600,26°C,0.0 mm,Partly cloudy
3,16,2009,900,29°C,0.0 mm,Partly cloudy
3,16,2009,1200,32°C,0.0 mm,Partly cloudy
3,16,2009,1500,29°C,0.0 mm,Clear
3,16,2009,1800,26°C,0.0 mm,Partly cloudy
3,17,2009,600,26°C,0.0 mm,Partly cloudy
3,17,2009,900,28°C,0.0 mm,Partly cloudy
3,17,2009,1200,27°C,1.8 mm,Moderate or heavy rain shower
3,17,2009,1500,26°C,0.3 mm,Patchy rain possible
3,17,2009,1800,25°C,0.3 mm,Patchy rain possible
3,18,2009,600,26°C,0.0 mm,Clear
3,18,2009,900,29°C,0.0 mm,Clear
3,18,2009,1200,33°C,0.0 mm,Clear
3,18,2009,1500,31°C,0.0 mm,Clear
3,18,2009,1800,27°C,0.0 mm,Clear
3,19,2009,600,26°C,0.0 mm,Clear
3,19,2009,900,30°C,0.0 mm,Clear
3,19,2009,1200,32°C,0.0 mm,Clear
3,19,2009,1500,31°C,0.0 mm,Clear
3,19,2009,1800,27°C,0.0 mm,Clear
3,20,2009,600,26°C,0.0 mm,Clear
3,20,2009,900,30°C,0.0 mm,Clear
3,20,2009,1200,32°C,0.0 mm,Partly cloudy
3,20,2009,1500,31°C,0.0 mm,Partly cloudy
3,20,2009,1800,28°C,0.0 mm,Clear
3,21,2009,600,26°C,0.0 mm,Clear
3,21,2009,900,30°C,0.0 mm,Partly cloudy
3,21,2009,1200,31°C,0.0 mm,Partly cloudy
3,21,2009,1500,31°C,0.0 mm,Partly cloudy
3,21,2009,1800,27°C,0.0 mm,Clear
3,22,2009,600,26°C,0.0 mm,Clear
3,22,2009,900,31°C,0.0 mm,Clear
3,22,2009,1200,32°C,0.0 mm,Clear
3,22,2009,1500,31°C,0.0 mm,Partly cloudy
3,22,2009,1800,28°C,0.0 mm,Partly cloudy
3,23,2009,600,27°C,0.0 mm,Clear
3,23,2009,900,31°C,0.0 mm,Partly cloudy
3,23,2009,1200,31°C,0.0 mm,Partly cloudy
3,23,2009,1500,29°C,0.0 mm,Partly cloudy
3,23,2009,1800,27°C,0.0 mm,Clear
3,24,2009,600,26°C,0.0 mm,Clear
3,24,2009,900,31°C,0.0 mm,Clear
3,24,2009,1200,32°C,0.0 mm,Partly cloudy
3,24,2009,1500,30°C,0.0 mm,Partly cloudy
3,24,2009,1800,27°C,0.0 mm,Partly cloudy
3,25,2009,600,27°C,0.0 mm,Clear
3,25,2009,900,30°C,0.0 mm,Partly cloudy
3,25,2009,1200,31°C,0.0 mm,Partly cloudy
3,25,2009,1500,29°C,1.0 mm,Heavy rain at times
3,25,2009,1800,25°C,0.5 mm,Moderate rain at times
3,26,2009,600,26°C,0.0 mm,Partly cloudy
3,26,2009,900,29°C,0.0 mm,Partly cloudy
3,26,2009,1200,31°C,0.0 mm,Clear
3,26,2009,1500,29°C,0.0 mm,Partly cloudy
3,26,2009,1800,27°C,0.0 mm,Partly cloudy
3,27,2009,600,26°C,0.0 mm,Clear
3,27,2009,900,29°C,0.0 mm,Clear
3,27,2009,1200,30°C,0.0 mm,Clear
3,27,2009,1500,29°C,1.5 mm,Moderate or heavy rain shower
3,27,2009,1800,27°C,0.0 mm,Partly cloudy
3,28,2009,600,26°C,0.2 mm,Patchy rain possible
3,28,2009,900,28°C,0.0 mm,Partly cloudy
3,28,2009,1200,30°C,0.0 mm,Clear
3,28,2009,1500,29°C,0.0 mm,Clear
3,28,2009,1800,27°C,0.5 mm,Moderate rain at times
3,29,2009,600,26°C,0.0 mm,Clear
3,29,2009,900,30°C,0.0 mm,Partly cloudy
3,29,2009,1200,31°C,0.0 mm,Partly cloudy
3,29,2009,1500,30°C,0.0 mm,Clear
3,29,2009,1800,28°C,0.0 mm,Clear
3,30,2009,600,27°C,0.0 mm,Clear
3,30,2009,900,30°C,0.0 mm,Clear
3,30,2009,1200,30°C,0.0 mm,Clear
3,30,2009,1500,29°C,0.0 mm,Clear
3,30,2009,1800,27°C,0.0 mm,Clear
3,31,2009,600,27°C,0.0 mm,Partly cloudy
3,31,2009,900,28°C,0.0 mm,Cloudy
3,31,2009,1200,28°C,0.2 mm,Patchy rain possible
3,31,2009,1500,26°C,0.1 mm,Patchy rain possible
3,31,2009,1800,25°C,0.7 mm,Moderate rain at times
4,1,2009,600,26°C,0.0 mm,Partly cloudy
4,1,2009,900,28°C,0.0 mm,Partly cloudy
4,1,2009,1200,28°C,0.1 mm,Patchy rain possible
4,1,2009,1500,27°C,0.0 mm,Partly cloudy
4,1,2009,1800,24°C,0.0 mm,Cloudy
4,2,2009,600,26°C,0.0 mm,Cloudy
4,2,2009,900,27°C,0.0 mm,Partly cloudy
4,2,2009,1200,28°C,0.2 mm,Patchy rain possible
4,2,2009,1500,27°C,0.2 mm,Patchy rain possible
4,2,2009,1800,25°C,0.0 mm,Partly cloudy
4,3,2009,600,26°C,0.0 mm,Cloudy
4,3,2009,900,29°C,0.0 mm,Partly cloudy
4,3,2009,1200,29°C,0.0 mm,Partly cloudy
4,3,2009,1500,27°C,0.0 mm,Partly cloudy
4,3,2009,1800,25°C,0.0 mm,Partly cloudy
4,4,2009,600,27°C,0.0 mm,Partly cloudy
4,4,2009,900,29°C,0.0 mm,Clear
4,4,2009,1200,30°C,0.0 mm,Partly cloudy
4,4,2009,1500,28°C,0.0 mm,Cloudy
4,4,2009,1800,26°C,1.1 mm,Heavy rain at times
4,5,2009,600,26°C,0.0 mm,Clear
4,5,2009,900,29°C,0.0 mm,Clear
4,5,2009,1200,31°C,0.0 mm,Clear
4,5,2009,1500,30°C,0.2 mm,Patchy rain possible
4,5,2009,1800,27°C,0.0 mm,Clear
4,6,2009,600,26°C,0.0 mm,Clear
4,6,2009,900,29°C,0.0 mm,Clear
4,6,2009,1200,32°C,0.0 mm,Clear
4,6,2009,1500,31°C,0.2 mm,Patchy rain possible
4,6,2009,1800,27°C,0.0 mm,Partly cloudy
4,7,2009,600,27°C,0.0 mm,Clear
4,7,2009,900,30°C,0.0 mm,Clear
4,7,2009,1200,33°C,0.0 mm,Clear
4,7,2009,1500,30°C,0.0 mm,Clear
4,7,2009,1800,27°C,0.0 mm,Partly cloudy
4,8,2009,600,27°C,0.0 mm,Partly cloudy
4,8,2009,900,29°C,0.0 mm,Clear
4,8,2009,1200,32°C,0.9 mm,Moderate rain at times
4,8,2009,1500,31°C,0.0 mm,Clear
4,8,2009,1800,27°C,0.0 mm,Clear
4,9,2009,600,27°C,0.0 mm,Clear
4,9,2009,900,30°C,0.0 mm,Clear
4,9,2009,1200,33°C,0.0 mm,Clear
4,9,2009,1500,30°C,0.7 mm,Moderate rain at times
4,9,2009,1800,27°C,0.0 mm,Clear
4,10,2009,600,27°C,0.0 mm,Clear
4,10,2009,900,30°C,0.0 mm,Clear
4,10,2009,1200,33°C,0.0 mm,Partly cloudy
4,10,2009,1500,31°C,0.0 mm,Partly cloudy
4,10,2009,1800,28°C,0.0 mm,Clear
4,11,2009,600,27°C,0.0 mm,Clear
4,11,2009,900,30°C,0.0 mm,Clear
4,11,2009,1200,33°C,0.0 mm,Clear
4,11,2009,1500,32°C,0.0 mm,Clear
4,11,2009,1800,28°C,0.0 mm,Clear
4,12,2009,600,27°C,0.0 mm,Clear
4,12,2009,900,31°C,0.0 mm,Clear
4,12,2009,1200,34°C,0.0 mm,Clear
4,12,2009,1500,32°C,0.0 mm,Clear
4,12,2009,1800,29°C,0.0 mm,Clear
4,13,2009,600,27°C,0.0 mm,Clear
4,13,2009,900,31°C,0.0 mm,Partly cloudy
4,13,2009,1200,34°C,0.0 mm,Partly cloudy
4,13,2009,1500,31°C,0.0 mm,Partly cloudy
4,13,2009,1800,28°C,0.1 mm,Patchy rain possible
4,14,2009,600,28°C,0.0 mm,Clear
4,14,2009,900,32°C,0.0 mm,Clear
4,14,2009,1200,33°C,0.0 mm,Partly cloudy
4,14,2009,1500,31°C,0.0 mm,Partly cloudy
4,14,2009,1800,28°C,0.1 mm,Patchy rain possible
4,15,2009,600,28°C,0.0 mm,Clear
